results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
1310 E Lake Dr,Tarpon Springs,Class I,Batch No. 20175; best by date: 10-13-23  Batch No. 20138; best by date: 8-26-23         Batch No. 20068; best by date: 5-5-23  Batch No. 19419; best by date: 9-19-22  Batch No. 19276; best by date: 7-10-22  Batch No. 19196; best by date: 5-30-22  Batch No. 19148; best by date: 4-17-22  Batch No. 19040 best by date: 2-6-22  Batch No. 18226; best by date: 12-1-21  Batch No. 18039; best by date: 3-1-21,United States,"U.S distribution to the following: Springfield, MO; Crystal Lake, IL; Palisade, CO; Colorado Springs, CO; Long Lake, NY; Long Grove, IL; Sheridan, WY; Venice, FL; Pittsburgh, PA; Nassawadox, VA.",87287,Telephone,"Thai Peanut Sauce, 12 fl. oz. (355ml),   UPC code #643558406919",34688-8110,85 cases / 12 per case,Food,Undeclared allergen: Shrimp,F-0322-2021,Barbara's Orchard/Delicae Gourmet,FL,Terminated,Voluntary: Firm initiated,2021-02-05,2021-03-03,2021-02-24,2021-07-20
1320 S 19th St,Nebraska City,Class II,Best By: 03/23/2022,United States,"Distributed to food distributors in CA, FL, MD, MI, MT, NE, NY, PA, TX, and WA and directly to consumers from the firm's online store.",89371,Letter,"Wayfare Dairy Free Butter Salted & Whipped,",68410-2666,610 cases,Food,Product showed suspected mold growth prior to expiration date.,F-0630-2022,"WayFare Health Foods, LLC.",NE,Terminated,Voluntary: Firm initiated,2022-01-06,2022-02-09,2022-02-02,2022-02-17
1320 San Francisco Ave Ne,Olympia,Class II,"Production dates July 6-7, 2020.  No code or expiration date noted on the packages.  Firm color codes tie closures representing the days of the week.",United States,distributed in WA only.,86112,Telephone,"Pain Au Levain Bread, San Francisco Street Bakery brand, keep at ambient temperature.  Individually packaged in flex poly bag, net weight 16 oz (454 g). UPC 0 08613 10013 1.    The product label is read in parts: ""***Pain Au Levain Bread ***Ingredients: unbleached wheat flour, water, sourdough culture, sea salt ***San Francisco Street BAKERY, Olympia, WA ***"".",98506-4138,62 loaves,Food,"The firm used pan release spray, which contains soy lecithin, on equipment and finished products labels do not declare soy lecithin.",F-1332-2020,San Francisco Street Bakery Inc.,WA,Terminated,Voluntary: Firm initiated,2020-07-23,2020-08-19,2020-08-26,2020-08-27
1320 San Francisco Ave Ne,Olympia,Class II,"Production dates July 6-7, 2020.  No code or expiration date noted on the packages.  Firm color codes tie closures representing the days of the week.",United States,distributed in WA only.,86112,Telephone,"Poppy Seed Bagel, San Francisco Street Bakery brand, keep at ambient temperature.  Packaged in flex poly bags for bulk or various quantities specific to customer order. No UPC.    The bagel bulk product label read: POPPY SEED BAGEL: Bread Flour (Unbleached Wheat Flour, Vitamin C, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Poppy Seed, Water, Salt Yeast, Brown Sugar.",98506-4138,14 bagels,Food,"The firm used pan release spray, which contains soy lecithin, on equipment and finished products labels do not declare soy lecithin.",F-1325-2020,San Francisco Street Bakery Inc.,WA,Terminated,Voluntary: Firm initiated,2020-07-23,2020-08-19,2020-08-26,2020-08-27
13260 Temple Ave,City Of Industry,Class II,2367,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,"Bone Rebuilder, 120 tablets",91746-1511,1366 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1702-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,8520,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,EST -700 Calcium,91746-1511,1035 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1681-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,8939,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,SOD Herbal Mix,91746-1511,17000 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1683-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,9542,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,"Slimin, 80 Veggie Capsules, 400 mg",91746-1511,1527 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1646-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,9543,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,"All Tonic, 80 Veggie Capsules, 400 mg",91746-1511,272 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1691-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,9639,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,Fish Collagen,91746-1511,"320,000 units",Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1667-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13260 Temple Ave,City Of Industry,Class II,9759,United States,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",70344,Letter,"Femanol, 60 capsules, 500mg",91746-1511,1996 units,Food,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,F-1715-2015,Health One Pharmaceuticals Inc,CA,Terminated,Voluntary: Firm initiated,2015-02-04,2015-04-08,2015-03-30,2015-03-31
13320 NE Jarrett St,Portland,Class II,Lot 03355-140121,United States,"distributed in AK, AZ, CA, ID, MT, OR, UT and WA.",71141,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Oregano, Mediterranean ground, stock code 03355, packaged in 0.2 lb., .75 lb., 0.8 lb., 1 lb., 4 lbs., 10 lbs., 15 lbs., 25 lbs., or 50 lbs. container.    The UPC for 50 lbs. container is 0 23605 03355 6.",97230-1093,552.50 lbs.,Food,Bulk ground oregano is recalled due to contamination with gluten (wheat allergen),F-2329-2015,"Regency Group, Inc., The",OR,Terminated,Voluntary: Firm initiated,2015-04-30,2015-06-03,2015-05-28,2015-08-25
13409 Orden Dr,Santa Fe Springs,Class I,Item number  #92556,United States,"AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA",83325,Letter,"Shirakiku FISH CAKE IKA MAKI SK F;  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 4 pcs.  UPC 074410925567    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA",90670-6336,"25,970 packages",Food,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.",F-1977-2019,"Wismettac Asian Foods, INC",CA,Terminated,Voluntary: Firm initiated,2019-07-11,2019-08-14,2019-08-07,2020-01-28
13409 Orden Dr,Santa Fe Springs,Class I,Item number #92555,United States,"AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA",83325,Letter,"Shirakiku FISH CAKE GOBO MAKI SK F:  20/ 150G, Net Wt. 5.29 oz.  Keep Frozen, 5 pcs.  UPC 07441092550    Distributed by Wismettac Asian Foods, Inc. Santa Fe Springs, CA",90670-6336,"26,433 packages",Food,"Fish Cake items contain possible contaminating undeclared egg, milk and shellfish.",F-1976-2019,"Wismettac Asian Foods, INC",CA,Terminated,Voluntary: Firm initiated,2019-07-11,2019-08-14,2019-08-07,2020-01-28
13409 Orden Dr,Santa Fe Springs,Class II,Bars with Japanese Bar code of JAN(4902777004532),United States,"AZ, CA, CO, NV, TX, UT and one customer in Mexico",82925,Letter,"CHOCOLATE ALMOND CHOCOLATE MEIJI, 3.1 oz.  Item number 64344    UPC 074410643447 - only on those bars with English labeling.    Distributed by Wismettac Asian Foods, Inc.",90670-6336,142 cases  (10 individual items in inner carton) x 8 / master case,Food,"Some chocolate products imported from Japan do not have the English label for Nutrition facts, ingredients or allergens, which include milk, soy, egg, tree nuts.",F-1451-2019,"Wismettac Asian Foods, INC",CA,Terminated,Voluntary: Firm initiated,2019-05-16,2019-06-19,2019-06-12,2019-07-05
13439 NW 19 LANE,Miami,Class I,UPC 635349 000390  Best By dates: 07/01/14 thru 12/31/14,United States,"FL, GA. NC, and TN",69516,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),33182,144 pieces,Food,"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",F-0609-2015,"Oasis Brands, Inc",FL,Terminated,Voluntary: Firm initiated,2014-10-10,2014-12-10,2014-12-02,2017-03-28
1362 Dutch American Way,Beecher,Class II,"Batch # 191951, 191952",United States,"MD, MI, IL, FL",75979,E-Mail,"Gourmet Cocoa Supreme, CP302141-12, NET WT. 12 LBS",60401-5093,122 bags,Food,Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.,F-1308-2017,Dutch-American Foods Inc,IL,Terminated,Voluntary: Firm initiated,2016-12-07,2017-02-01,2017-01-23,2019-07-12
13690 Satellite Blvd,Orlando,Class I,"World Food Lot Code 011347    Best if Sold By: 09/13/12, 09/21/2012, 09/22/2012, 09/23/2012, 09/24/2012    UPC Code 21140-01701 and 21140-01707",United States,Distributed throughout FL.,63274,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Fresh Fruit Burst fruit cup, packaged in 1 and 1.5 lb containers. Labeled in part: ""***Fruit Burst***Ingredients: Watermelon, Cantaloupe, Pineapple, Honeydew, Grapes, Mango,  Blueberries. Packed in its own juice***""",32837-8429,7220 lbs/1455 cases,Food,"On 09/18/2012, World Foods, LLC recalled various products containing mangoes supplied from Agricola Daniella with the potential to be contaminated with Salmonella.",F-0148-2013,World Food LLC.,FL,Terminated,Voluntary: Firm initiated,2012-09-18,2012-10-24,2012-10-17,2013-05-31
1380 W 15th St,Riviera Beach,Class III,"P-1-06517-6A, Exp Date 03/06/2018; P-1-06717-6A, Exp Date 03/08/2018;  P-1-07417-7A, Exp. Date 03/15/2018; P-1-11717-11A, Exp Date 04/27/2018; P-1-12417-4A, Exp Date  05/04/2018; P-1-12917-4A, Exp Date 05/09/2018; P-1-15617-4D, Exp Date 06/05/2018; P-1-18017-4A, Exp Date 06/29/2018; P-1-20517-3A, Exp Date 07/24/2018; P-1-21317-1A, Exp Date 08/01/2018; P-1-25717-8A, Exp Date 9/14/2018; P-1-29417-1A, Exp. Date 10/21/2018; P-1-34317-3A, Exp Date 12/09/2018; P-1-35417-1A, Exp Date 2/20/2018; P-1-03218-5A, Exp Date 02/01/2019; P-1-05018-4A, Exp Date 02/19/2019",United States,Florida consignees only.,79823,Letter,"ITALIAN ROSE GARLIC SPREAD, Gluten Free, NET WT. 35 LB (16 kg), www.italian-rose.com, Riviera Beach, FL 33404",33404-5310,842 pails,Food,"During a FDA inspection, it was disclosed that the firm is not documenting the mixing time of the product nor is pH monitoring for each kettle/batch mixed being conducted. The product is a shelf stable garlic spread.",F-1135-2018,"Italian Rose Garlic Products, LLC",FL,Terminated,Voluntary: Firm initiated,2018-04-06,2018-05-02,2018-04-26,2018-08-23
13815 Sw 139th Ct,Miami,Class II,"Expiration Date: From 04/03/2026 to 05/03/2026 Lot#034320462, 034320562, 034320662, 034320962, 034321062, 034321162, 034321262, 034321362, 034321662, 034321762, 034321862, 034321962, 034322062, 034322362, 034322462, 034322562, 034322662, 034322762, 034323062, 034323162, 044320162, 044320262, 044320362",United States,FL and TX.,98732,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Marquesita de Chocolate y Vainilla [image] Delighted Flavored Cakes The Original, Net Wt. 16 oz, packaged in a transparent and rigid plastic clamshell container, one unit per container. KEEP REFRIGERATED. UPC 824790852706",33186-5517,809 (16-oz) units,Food,"Undeclared colors (Yellow #5, Yellow #6, and/or Red #40).",H-0932-2026,Galaxy RG Corp,FL,Ongoing,Voluntary: Firm initiated,2026-04-03,2026-06-17,2026-06-09,
13815 Sw 139th Ct,Miami,Class II,"Expiration Date: From 04/03/2026 to 05/03/2026 Lot#034320462, 034320562, 034320662, 034320962, 034321062, 034321162, 034321262, 034321362, 034321662, 034321762, 034321862, 034321962, 034322062, 034322362, 034322462, 034322562, 034322662, 034322762, 034323062, 034323162, 044320162, 044320262, 044320362",United States,FL and TX.,98732,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Rollitos de Guava [image] Guava Rolls The Original, Net Wt. 15 oz, packaged in a transparent and rigid plastic clamshell container, one unit per container. KEEP REFRIGERATED. UPC 824790852454",33186-5517,"7,856 (15-oz) units",Food,"Undeclared colors (Yellow #5, Yellow #6, and/or Red #40).",H-0919-2026,Galaxy RG Corp,FL,Ongoing,Voluntary: Firm initiated,2026-04-03,2026-06-17,2026-06-09,
1390 Enclave Pkwy,Houston,Class I,All lot codes,United States,"DC, DE, FL, GA, MA, MD, MI, NC, NJ, OH, PA, SC, VA, WV, CT, KY, VT and Puerto Rico",96923,E-Mail,KITGREEKPASTA5	1/5#	EAST COAST FRESH	PC-Greek Pasta Salad Kit 1/5lb W/Pasta	ALL LOT CODES KITGREEKPASTA5	1/5#	EAST COAST FRESH	PC-Greek Pasta Salad Kit 1/5lb W/Pasta	ALL LOT CODES  KITGREEKPASTA51	1/5#	EAST COAST FRESH	Greek Pasta Salad Kit 1/5lb W/Pasta (RF)	ALL LOT CODES,77077-2025,"14,338 units (total)",Food,Cucumbers have the potential to be contaminated with Salmonella,H-0024-2025,Sysco Corporation,TX,Terminated,Voluntary: Firm initiated,2025-05-21,2025-06-18,2025-06-10,2026-02-06
1390 Enclave Pkwy,Houston,Class I,All lot codes,United States,"DC, DE, FL, GA, MA, MD, MI, NC, NJ, OH, PA, SC, VA, WV, CT, KY, VT and Puerto Rico",96923,E-Mail,RTSALSA1LB	1#	EAST COAST FRESH	Salsa Cup - 1 lb	ALL LOT CODES SAL20	5#	EAST COAST FRESH	EC-Salsa- Fresh 5#	ALL LOT CODES SAL210	6/1#	EAST COAST FRESH	Salsa- Fresh Retail 6x1# (E)	ALL LOT CODES SAL45	20#	EAST COAST FRESH	EC-Salsa- Fresh 20#	ALL LOT CODES SAL48	7#	EAST COAST FRESH	EC-Salsa- Mild 7# (E)	ALL LOT CODES RTSALSA1LB	1#	EAST COAST FRESH	Salsa Cup - 1 lb	ALL LOT CODES SAL20	5#	EAST COAST FRESH	EC-Salsa- Fresh 5#	ALL LOT CODES SAL21	6/1#	EAST COAST FRESH	EC-Salsa- Fresh Retail 6x1#	ALL LOT CODES SAL210	6 / 1#	EAST COAST FRESH	SALSA RETAIL 1# CUP (6/CASE)	ALL LOT CODES SAL45	20#	EAST COAST FRESH	EC-Salsa- Fresh 20#	ALL LOT CODES SAL460	6 / 1#	EAST COAST FRESH	Salsa HOT 6/1#	ALL LOT CODES SAL519	6/1#	EAST COAST FRESH	Salsa HOT 6/1lb TOPS (E)	ALL LOT CODES SAL532	6/1#	TOPS	SALSA RETAIL 1lb CUP (6/CASE)- TOPS (E)	ALL LOT CODES SAL540	6/30oz	WELLSLEY FARMS	Wellsley Farms Mild Salsa 6/30oz (E)	ALL LOT CODES SALSA166WEIS	6/16 oz	WEIS	SALSA MILD 6/16oz WEIS	ALL LOT CODES SALSABUCKET20	20#	EAST COAST FRESH	Salsa Fresh Bucket 20#	ALL LOT CODES SALSAHOT1	1#	EAST COAST FRESH	Salsa Hot 1 lb	ALL LOT CODES SALSAHOT61	6/1#	EAST COAST FRESH	Salsa HOT 6/1#	ALL LOT CODES SALSAHOT61TOPS	6/1 #	TOPS	Salsa HOT 6/1# TOPS	ALL LOT CODES SALSAHOTAHOLD	6/1 #	AHOLD	Salsa HOT 6/1# - AHOLD	ALL LOT CODES SALSARET1	6/1#	EAST COAST FRESH	SALSA RETAIL 1# CUP (6/CASE)	ALL LOT CODES SALSARET121	12/1#	AHOLD	Salsa Retail 12/1#- AHOLD	ALL LOT CODES SALSARET1NL	6/1 #	EAST COAST FRESH	SALSA RETAIL 1# CUP (NL) (6/CASE)	ALL LOT CODES SALSARET1TOPS	6/1#	TOPS	SALSA RETAIL 1# CUP (6/CASE)- TOPS	ALL LOT CODES SALSATUB51	5#	EAST COAST FRESH	Salsa Fresh 5#	ALL LOT CODES SALSAWELLFMD306	6/30 OZ	WELLSLEY FARMS	Wellsley Farms Mild Salsa 6/30oz	ALL LOT CODES  SAL519	6/1#	EAST COAST FRESH	Salsa HOT 6/1lb TOPS (E)	ALL LOT CODES SAL532	6 / 1#	TOPS	SALSA RETAIL 1lb CUP (6/CASE)- TOPS (E)	ALL LOT CODES SAL540	6/30oz	WELLSLEY FARMS	Wellsley Farms Mild Salsa 6/30oz (E)	ALL LOT CODES SALSA166WEIS	6/16oz	WEIS	SALSA MILD 6/16oz WEIS	ALL LOT CODES SALSABUCKET20	20#	EAST COAST FRESH	Salsa Fresh Bucket 20#	ALL LOT CODES SALSAHOT1	1#	EAST COAST FRESH	Salsa Hot 1 lb	ALL LOT CODES SALSAHOT61	6 / 1#	EAST COAST FRESH	Salsa HOT 6/1#	ALL LOT CODES SALSAHOT61TOPS	6 / 1#	TOPS	Salsa HOT 6/1# TOPS	ALL LOT CODES SALSAHOTAHOLD	6 / 1#	AHOLD	Salsa HOT 6/1# - AHOLD	ALL LOT CODES SALSARET1	6 / 1#	EAST COAST FRESH	SALSA RETAIL 1# CUP (6/CASE)	ALL LOT CODES SALSARET121	12 / 1#	AHOLD	Salsa Retail 12/1#- AHOLD	ALL LOT CODES SALSARET1NL	6 / 1#	EAST COAST FRESH	SALSA RETAIL 1# CUP (NL) (6/CASE)	ALL LOT CODES SALSARET1TOPS	6 / 1#	TOPS	SALSA RETAIL 1# CUP (6/CASE)- TOPS	ALL LOT CODES SALSATUB51	5#	EAST COAST FRESH	Salsa Fresh 5#	ALL LOT CODES SALSATUB71	7#	EAST COAST FRESH	Salsa Fresh Tub 7 lbs	ALL LOT CODES SALSAWELLFMD306	6 /30 oz	WELLSLEY FARMS	Wellsley Farms Mild Salsa 6/30oz	ALL LOT CODES,77077-2025,"14,338 units (total)",Food,Cucumbers have the potential to be contaminated with Salmonella,H-0023-2025,Sysco Corporation,TX,Terminated,Voluntary: Firm initiated,2025-05-21,2025-06-18,2025-06-10,2026-02-06
